antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,END010 | FAC025 | GEN003,END010: Disorders of lipid metabolism | FAC025: Other specified status | GEN003: Chronic kidney disease,0.0504,0.5121,6.0493
END010 | FAC025 | GEN003,END010: Disorders of lipid metabolism | FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,0.0504,0.5955,6.0493
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR008 | CIR011 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,0.0515,0.5806,5.9317
CIR008 | CIR011 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,0.0515,0.526,5.9317
CIR019 | END010 | FAC025,CIR019: Heart failure | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,0.0515,0.6786,5.92
CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,0.0601,0.5244,5.9131
CIR019 | END010,CIR019: Heart failure | END010: Disorders of lipid metabolism,CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,0.0601,0.6778,5.9131
CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,0.0564,0.573,5.772
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,0.0564,0.5682,5.772
CIR008 | END003 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | FAC025: Other specified status,END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,0.0504,0.568,5.7217
END010 | GEN003,END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR008 | END003 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | FAC025: Other specified status,0.0504,0.5079,5.7217
PNL001 | PNL007,PNL001: Liveborn | PNL007: Hemolytic jaundice and perinatal jaundice,FAC016,"FAC016: Exposure, encounters, screening or contact with infectious disease",0.0874,0.9708,5.367
PNL001,PNL001: Liveborn,FAC016,"FAC016: Exposure, encounters, screening or contact with infectious disease",0.1199,0.9688,5.356
FAC016,"FAC016: Exposure, encounters, screening or contact with infectious disease",PNL001,PNL001: Liveborn,0.1199,0.6627,5.356
CIR008 | CIR017,CIR008: Hypertension with complications and secondary hypertension | CIR017: Cardiac dysrhythmias,CIR019,CIR019: Heart failure,0.0668,0.7605,5.2065
CIR019 | FAC021,CIR019: Heart failure | FAC021: Personal/family history of disease,CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,0.0529,0.5941,5.183
CIR008 | CIR017 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR017: Cardiac dysrhythmias | FAC025: Other specified status,CIR019,CIR019: Heart failure,0.0566,0.7555,5.172
PNL007,PNL007: Hemolytic jaundice and perinatal jaundice,FAC016,"FAC016: Exposure, encounters, screening or contact with infectious disease",0.0883,0.934,5.1633
CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0705,0.7164,5.1599
FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,0.0705,0.508,5.1599
CIR008 | CIR017,CIR008: Hypertension with complications and secondary hypertension | CIR017: Cardiac dysrhythmias,CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,0.0566,0.6445,5.1473
CIR008 | END003 | END010,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,0.0504,0.7098,5.1123
